年,月,日,工作日,备注
2025,1,1,否,元旦
2025,1,2,是,
2025,1,3,是,
2025,1,4,否,周六
2025,1,5,否,周日
2025,1,6,是,
2025,1,7,是,
2025,1,8,是,
2025,1,9,是,
2025,1,10,是,
2025,1,11,否,周六
2025,1,12,否,周日
2025,1,13,是,
2025,1,14,是,
2025,1,15,是,
2025,1,16,是,
2025,1,17,是,
2025,1,18,否,周六
2025,1,19,否,周日
2025,1,20,是,
2025,1,21,是,
2025,1,22,是,
2025,1,23,是,
2025,1,24,是,
2025,1,25,否,周六
2025,1,26,是,调整上班
2025,1,27,是,
2025,1,28,否,除夕
2025,1,29,否,春节
2025,1,30,否,初二
2025,1,31,否,初三
2025,2,1,否,周六
2025,2,2,否,周日
2025,2,3,否,初六
2025,2,4,否,初七
2025,2,5,是,
2025,2,6,是,
2025,2,7,是,
2025,2,8,是,调整上班
2025,2,9,否,周日
2025,2,10,是,
2025,2,11,是,
2025,2,12,是,
2025,2,13,是,
2025,2,14,是,
2025,2,15,否,周六
2025,2,16,否,周日
2025,2,17,是,
2025,2,18,是,
2025,2,19,是,
2025,2,20,是,
2025,2,21,是,
2025,2,22,否,周六
2025,2,23,否,周日
2025,2,24,是,
2025,2,25,是,
2025,2,26,是,
2025,2,27,是,
2025,2,28,是,
2025,3,1,否,周六
2025,3,2,否,周日
2025,3,3,是,
2025,3,4,是,
2025,3,5,是,
2025,3,6,是,
2025,3,7,是,
2025,3,8,否,周六
2025,3,9,否,周日
2025,3,10,是,
2025,3,11,是,
2025,3,12,是,
2025,3,13,是,
2025,3,14,是,
2025,3,15,否,周六
2025,3,16,否,周日
2025,3,17,是,
2025,3,18,是,
2025,3,19,是,
2025,3,20,是,
2025,3,21,是,
2025,3,22,否,周六
2025,3,23,否,周日
2025,3,24,是,
2025,3,25,是,
2025,3,26,是,
2025,3,27,是,
2025,3,28,是,
2025,3,29,否,周六
2025,3,30,否,周日
2025,3,31,是,
2025,4,1,是,
2025,4,2,是,
2025,4,3,是,
2025,4,4,否,清明节
2025,4,5,否,周六
2025,4,6,否,周日
2025,4,7,是,
2025,4,8,是,
2025,4,9,是,
2025,4,10,是,
2025,4,11,是,
2025,4,12,否,周六
2025,4,13,否,周日
2025,4,14,是,
2025,4,15,是,
2025,4,16,是,
2025,4,17,是,
2025,4,18,是,
2025,4,19,否,周六
2025,4,20,否,周日
2025,4,21,是,
2025,4,22,是,
2025,4,23,是,
2025,4,24,是,
2025,4,25,是,
2025,4,26,否,周六
2025,4,27,是,调整上班
2025,4,28,是,
2025,4,29,是,
2025,4,30,是,
2025,5,1,否,劳动节
2025,5,2,否,劳动节
2025,5,3,否,周六
2025,5,4,否,周日
2025,5,5,否,劳动节
2025,5,6,是,
2025,5,7,是,
2025,5,8,是,
2025,5,9,是,
2025,5,10,否,周六
2025,5,11,否,周日
2025,5,12,是,
2025,5,13,是,
2025,5,14,是,
2025,5,15,是,
2025,5,16,是,
2025,5,17,否,周六
2025,5,18,否,周日
2025,5,19,是,
2025,5,20,是,
2025,5,21,是,
2025,5,22,是,
2025,5,23,是,
2025,5,24,否,周六
2025,5,25,否,周日
2025,5,26,是,
2025,5,27,是,
2025,5,28,是,
2025,5,29,是,
2025,5,30,是,
2025,5,31,否,端午
2025,6,1,否,周日
